code,areaName,cx,cy,country,region,Constituency,LA,MSOA,TTWA2011,d_N/A,d_2less,d_2_5,d_5_10,d_10_20,d_20_30,d_30_40,d_40_60,d_60plus,d_home,d_offshore
E07000103,Watford,510556,197803,E92000001,E12000006,E14001021,,,,49387,7829,5725,3948,4570,3336,572,323,327,17899,8330
E07000112,Folkestone and Hythe,610024,132599,E92000001,E12000008,E14000704,,,,61939,6157,4587,3275,5644,2947,739,924,1391,13770,8380
E07000119,Fylde,339324,432384,E92000001,E12000002,E14000706,,,,45658,4000,3821,4912,4147,1053,586,533,517,11361,4786
E07000120,Hyndburn,374414,429238,E92000001,E12000002,E14000758,,,,46607,4846,5984,6600,3675,1450,560,360,301,6309,5542
E07000124,Ribble Valley,370849,445761,E92000001,E12000002,E14000894,,,,31176,3181,2210,3776,5008,1578,931,636,297,9005,3765
E07000136,Boston,532926,343714,E92000001,E12000004,E14000582,,,,36871,6152,4610,3463,4954,3263,717,907,647,3558,5360
E07000142,West Lindsey,501339,389522,E92000001,E12000004,E14000707,,,,53017,4416,2628,4282,5913,3978,1550,1038,876,10950,6505
E07000147,North Norfolk,613546,332832,E92000001,E12000006,E14000603,,,,61321,5157,2148,3720,5574,3321,1897,739,848,10106,8149
E07000167,Ryedale,475009,480011,E92000001,E12000003,E14000993,,,,28746,3480,1556,1767,3407,2016,962,650,547,7609,3967
E07000169,Selby,457071,432688,E92000001,E12000003,E14000917,,,,45864,4017,2567,3769,7232,4514,1776,957,793,14331,6171
E07000170,Ashfield,449768,355201,E92000001,E12000004,E14000535,,,,67870,7139,9309,9679,7595,2454,785,492,787,11460,8731
E07000171,Bassetlaw,469431,382275,E92000001,E12000004,E14000546,,,,62889,7640,6616,5211,8441,4629,1743,1051,956,10741,7890
E07000172,Broxtowe,449657,342283,E92000001,E12000004,E14000535,,,,59024,4631,7023,8234,5545,1078,549,317,755,17302,6482
E07000173,Gedling,459166,348277,E92000001,E12000004,E14000710,,,,61076,4758,8124,9746,4600,1792,548,403,594,17220,8401
E07000175,Newark and Sherwood,472378,359080,E92000001,E12000004,E14000829,,,,65842,6915,6285,4528,7895,4713,1671,920,964,14786,8437
E07000176,Rushcliffe,464834,334124,E92000001,E12000004,E14000908,,,,62099,3431,4782,6597,6558,2399,945,480,869,24680,6235
E07000177,Cherwell,449860,229130,E92000001,E12000008,E14000539,,,,76044,12865,8561,5691,8658,5510,2539,1460,1593,27343,10752
E07000178,Oxford,452441,206500,E92000001,E12000008,E14000874,,,,88714,12938,14198,4222,3184,923,920,581,1357,28427,6578
E07000179,South Oxfordshire,464397,193175,E92000001,E12000008,E14000742,,,,72609,6909,4417,6642,8572,3974,1377,1104,1065,32709,9707
E07000180,Vale of White Horse,438787,192976,E92000001,E12000008,E14001015,,,,68049,5900,4917,7513,8118,3734,1191,692,965,29239,8595
E07000181,West Oxfordshire,434067,215553,E92000001,E12000008,E14001046,,,,55311,7316,2897,6157,7387,3571,1028,551,966,20629,8424
E07000187,Mendip,362056,144991,E92000001,E12000009,E14000932,,,,60418,7574,3792,5108,6876,3387,1514,625,700,17105,8990
E07000188,Sedgemoor,333465,143276,E92000001,E12000009,E14001026,,,,66196,8623,6970,4611,9340,2894,1503,1212,838,13532,9624
E07000189,South Somerset,350246,121192,E92000001,E12000009,E14000932,,,,91740,12812,7642,7582,10663,4867,1884,1475,1441,20337,12228
E07000192,Cannock Chase,401418,312745,E92000001,E12000005,E14000618,,,,51642,5534,6005,5248,8416,3239,1069,474,517,9529,8846
E07000193,East Staffordshire,412763,329519,E92000001,E12000005,E14000610,,,,64701,9355,8494,5984,7604,3595,1567,1047,731,13235,7706
E07000194,Lichfield,413297,310036,E92000001,E12000005,E14000791,,,,55963,4229,3547,5927,7713,3723,974,611,606,15959,7181
E07000195,Newcastle-under-Lyme,378749,344081,E92000001,E12000005,E14000834,,,,66617,6608,10618,8934,5518,1818,608,816,953,13009,7800
E07000196,South Staffordshire,388140,303026,E92000001,E12000005,E14000945,,,,59773,3067,4091,8380,7734,3064,1069,722,609,14069,7894
E07000197,Stafford,388230,327866,E92000001,E12000005,E14000975,,,,71101,7362,7505,6185,8055,4863,1594,1002,1048,19775,8375
E07000199,Tamworth,421984,303220,E92000001,E12000005,E14000986,,,,40489,4736,6865,3197,5210,3039,825,336,458,8238,5254
E07000200,Babergh,599986,243163,E92000001,E12000006,E14000946,,,,49384,4413,2815,3658,5859,3079,1103,677,893,13171,7289
E07000203,Mid Suffolk,611211,265459,E92000001,E12000006,E14000624,,,,52675,3598,2860,4750,7171,4185,1696,1162,853,15527,8222
E07000207,Elmbridge,512060,163238,E92000001,E12000008,E14000697,,,,71774,4145,5395,5673,4922,2850,500,180,320,35983,7013
E07000208,Epsom and Ewell,521188,161461,E92000001,E12000008,E14000694,,,,41029,3385,4010,3867,3399,1479,242,152,170,17930,5275
E07000209,Guildford,500446,150851,E92000001,E12000008,E14000719,,,,73876,7096,6356,5615,5689,2319,1321,1259,591,30814,8714
E07000210,Mole Valley,517049,147214,E92000001,E12000008,E14000694,,,,45044,3178,2606,3618,4389,1804,754,273,221,19379,6119
E07000211,Reigate and Banstead,526286,152009,E92000001,E12000008,E14000681,,,,75719,6330,7160,7217,6751,3154,1704,614,400,31589,10208
E07000212,Runnymede,501617,167042,E92000001,E12000008,E14000907,,,,45622,3899,4465,4682,4074,1439,721,220,375,16530,6051
E07000213,Spelthorne,506652,170605,E92000001,E12000008,E14000959,,,,51417,3674,6305,7864,4518,1942,408,221,310,18497,7799
E07000215,Tandridge,536712,149345,E92000001,E12000008,E14000681,,,,45299,2350,2509,4435,4640,2176,902,398,208,18441,6516
E07000216,Waverley,495682,139877,E92000001,E12000008,E14000719,,,,67507,4903,3832,3886,6282,1955,1039,1640,528,28929,7728
E07000217,Woking,500423,158249,E92000001,E12000008,E14001047,,,,51201,4636,4882,5336,3845,1439,1387,474,307,23570,6866
E07000218,North Warwickshire,425346,294421,E92000001,E12000005,E14000854,,,,33281,2623,2782,4556,5027,2227,736,322,352,8411,4718
E07000219,Nuneaton and Bedworth,435701,289373,E92000001,E12000005,E14000854,,,,71083,7434,10113,8664,8173,3943,1078,540,788,14461,7921
E07000220,Rugby,445826,276476,E92000001,E12000005,E14000767,,,,56257,6483,8730,6531,6426,2808,1333,856,888,17792,6258
E07000221,Stratford-on-Avon,425910,253437,E92000001,E12000005,E14000977,,,,68489,6062,3015,5159,9174,4249,2028,1116,918,26151,8364
E07000222,Warwick,428512,268090,E92000001,E12000005,E14000767,,,,75705,8293,7646,5711,6553,2743,946,649,971,32535,6702
E07000223,Adur,519857,106296,E92000001,E12000008,E14000682,,,,34719,3313,3396,3961,2516,747,525,223,343,9266,5533
E07000224,Arun,500922,105536,E92000001,E12000008,E14000576,,,,91698,8933,7825,11074,8047,2805,1256,1229,1252,18060,12710
E07000225,Chichester,488437,116059,E92000001,E12000008,E14000534,,,,67702,7063,4276,4436,6003,2642,1177,1185,1196,19385,9001
E07000226,Crawley,527313,137822,E92000001,E12000008,E14000652,,,,59592,6667,10717,5672,5544,1602,1379,1536,467,15903,9411
E07000227,Horsham,514696,122819,E92000001,E12000008,E14000534,,,,74611,5713,4658,5170,8890,4201,1708,1564,671,29417,10172
E07000228,Mid Sussex,531427,126224,E92000001,E12000008,E14000534,,,,75994,8554,5552,5813,8483,3142,1032,1920,809,31314,9953
E07000229,Worthing,513043,104470,E92000001,E12000008,E14001055,,,,57781,8719,8269,3114,4363,2227,690,535,679,16767,8196
E07000234,Bromsgrove,398961,273791,E92000001,E12000005,E14000605,,,,51896,3416,3415,5325,8348,2402,668,367,515,16436,6395
E07000235,Malvern Hills,376452,253907,E92000001,E12000005,E14001035,,,,43686,3592,2833,3424,4239,1914,890,664,535,12483,5226
E07000236,Redditch,403427,264902,E92000001,E12000005,E14000892,,,,44342,5918,9211,3061,4364,2892,528,252,416,9872,6180
E07000237,Worcester,385680,255359,E92000001,E12000005,E14001052,,,,52243,9031,9421,3182,4021,2412,1865,643,634,13607,6810
E07000238,Wychavon,396608,251844,E92000001,E12000005,E14000818,,,,68832,6140,5645,6817,7830,4864,1837,1188,793,19207,9339
E07000239,Wyre Forest,381336,275771,E92000001,E12000005,E14001058,,,,55818,6084,6223,4170,5399,3833,937,530,496,10559,7560
E07000240,St Albans,514441,209482,E92000001,E12000006,E14000749,,,,75296,5835,5168,5784,4886,2777,1984,477,376,38594,6990
E07000241,Welwyn Hatfield,524698,209206,E92000001,E12000006,E14000606,,,,61684,6906,5628,5156,6270,2863,1420,451,428,21001,8026
E07000242,East Hertfordshire,537205,220364,E92000001,E12000006,E14000744,,,,73634,6833,4480,6479,8345,3699,2774,1595,421,31278,10623
E07000243,Stevenage,524559,224521,E92000001,E12000006,E14000845,,,,44035,5542,7476,2617,4278,1991,1388,1312,307,12876,7673
E07000244,East Suffolk,636456,265500,E92000001,E12000006,E14000624,,,,139694,13979,11448,9105,13015,4367,3391,3432,2799,27774,17056
E07000245,West Suffolk,578957,267629,E92000001,E12000006,E14000613,,,,90329,13525,8397,6553,10771,9094,2798,2137,1520,21104,13720
E07000246,Somerset West and Taunton,304672,132836,E92000001,E12000009,E14000988,,,,84151,12175,8609,5857,7310,3701,2368,1268,1485,19392,11128
E08000002,Bury,379434,410155,E92000001,E12000002,E14000611,,,,105369,9801,11859,13467,10454,2261,618,580,737,26579,12127
E08000003,Manchester,384645,394923,E92000001,E12000002,E14000571,,,,317655,28238,39156,35535,17342,3211,1758,2232,3140,73964,29711
E08000004,Oldham,396668,406152,E92000001,E12000002,E14000871,,,,143882,13138,17675,15256,9876,2317,1169,867,944,20903,16063
E08000005,Rochdale,389646,413331,E92000001,E12000002,E14000747,,,,129314,12367,15850,15092,10392,3000,1025,695,964,20151,14920
E08000006,Salford,375503,399266,E92000001,E12000002,E14000571,,,,142317,16966,20115,17005,12484,2598,1092,1011,1319,39039,15975
E08000007,Stockport,391577,388561,E92000001,E12000002,E14000627,,,,154967,13182,19955,20186,14211,1993,815,1071,1112,50157,17124
E08000008,Tameside,395938,397900,E92000001,E12000002,E14000537,,,,125417,12419,17406,17283,12293,1747,772,801,911,25970,16052
E08000009,Trafford,376532,391465,E92000001,E12000002,E14000532,,,,123494,9724,14627,15256,9956,2121,864,923,955,45450,11680
E08000010,Wigan,361033,403243,E92000001,E12000002,E14000580,,,,174716,17195,21538,22456,20660,8266,2384,649,1495,34432,25540
E08000011,Knowsley,344694,392430,E92000001,E12000002,E14000775,,,,85027,7623,9779,13422,9465,1206,603,556,710,14880,11250
E08000012,Liverpool,339133,389144,E92000001,E12000002,E14000708,,,,280338,24023,38963,35699,15132,4026,1052,2374,2391,53721,28372
E08000013,St. Helens,352124,396102,E92000001,E12000002,E14000962,,,,100625,8428,13414,12468,11439,3079,1496,378,779,18973,12169
E08000014,Sefton,332846,408176,E92000001,E12000002,E14000581,,,,154635,14520,15944,14452,15818,6454,1669,1233,1174,34750,18583
E08000015,Wirral,327405,386273,E92000001,E12000002,E14000559,,,,180696,14177,21803,23925,14991,4459,1099,1277,1641,37299,18832
E08000016,Barnsley,431083,404470,E92000001,E12000003,E14000541,,,,132892,11844,15670,17395,16906,5746,1353,714,1291,22340,18422
E08000017,Doncaster,460041,405684,E92000001,E12000003,E14000667,,,,170248,15107,19924,22414,17756,7327,2960,2014,2135,25503,22719
E08000018,Rotherham,447556,390471,E92000001,E12000003,E14000903,,,,148004,10991,16097,20778,17958,3297,1308,1414,1457,24750,19755
E08000021,Newcastle upon Tyne,421988,568195,E92000001,E12000001,E14000831,,,,175047,14494,23425,18936,8795,2430,596,1110,2172,37529,15591
E08000022,North Tyneside,430940,570503,E92000001,E12000001,E14000853,,,,111702,9667,15154,15781,10744,1126,496,588,1218,30738,11752
E08000023,South Tyneside,435717,563346,E92000001,E12000001,E14000765,,,,85268,7053,10322,11382,6771,1082,227,504,919,14779,9466
E08000024,Sunderland,435242,554109,E92000001,E12000001,E14001020,,,,157021,13789,20071,19596,14598,2222,1225,532,1408,27418,16292
E08000025,Birmingham,408620,287849,E92000001,E12000005,E14000565,,,,702501,44638,72746,77482,43586,11183,4907,3655,7021,114058,63142
E08000026,Coventry,432736,280037,E92000001,E12000005,E14000649,,,,195181,17375,28940,20030,13613,7386,1979,1367,2320,38674,18458
E08000027,Dudley,392753,287253,E92000001,E12000005,E14000671,,,,178848,15801,26910,24364,16564,3469,1130,889,1396,31434,22683
E08000028,Sandwell,399516,290879,E92000001,E12000005,E14000722,,,,200760,15744,28398,27685,13427,2812,1519,1461,2009,26347,21669
E08000029,Solihull,418611,279457,E92000001,E12000005,E14000812,,,,118301,6991,12004,14712,11189,3590,916,498,1236,35366,11437
E08000030,Walsall,402370,300150,E92000001,E12000005,E14000531,,,,165591,13564,19909,20290,16610,3248,1228,1122,1376,22044,19140
E08000031,Wolverhampton,391927,299026,E92000001,E12000005,E14001049,,,,152418,13579,22477,16659,10977,6431,1185,1153,1664,21002,16185
E08000032,Bradford,409656,438737,E92000001,E12000003,E14000925,,,,325274,28842,38445,30777,24935,5737,1476,1581,1952,55396,31998
E08000033,Calderdale,401827,424977,E92000001,E12000003,E14000614,,,,113250,11434,13584,12785,9424,3282,1098,592,803,27280,13099
E08000034,Kirklees,415745,414567,E92000001,E12000003,E14000548,,,,243131,22942,29011,25937,23816,6373,2295,1245,1650,49908,26909
E08000035,Leeds,432624,436701,E92000001,E12000003,E14000777,,,,437891,37863,53123,54340,35846,9256,2959,2279,4622,126585,47191
E08000036,Wakefield,438985,418409,E92000001,E12000003,E14000836,,,,188729,18463,22509,23212,27684,6980,2379,956,1762,36965,23731
E08000037,Gateshead,420364,560133,E92000001,E12000001,E14000574,,,,108632,9378,14840,15288,9377,1742,441,574,957,23427,11495
E09000001,City of London,532539,181164,E92000001,E12000007,E14000639,,,,3232,676,385,241,82,15,7,9,28,3602,303
E09000002,Barking and Dagenham,548056,184924,E92000001,E12000007,E14000540,,,,124280,6478,11954,11182,16820,4677,1056,594,1032,19572,21224
E09000003,Barnet,524095,192314,E92000001,E12000007,E14000703,,,,203170,12676,15501,23510,22122,2294,795,619,1162,79628,27869
E09000004,Bexley,548955,175730,E92000001,E12000007,E14000558,,,,128489,7959,13246,13754,15404,4488,1014,591,835,40692,20001
E09000005,Brent,520189,185924,E92000001,E12000007,E14000592,,,,178819,13873,23212,23900,16535,2057,623,566,1478,48987,29763
E09000006,Bromley,542864,165667,E92000001,E12000007,E14000551,,,,167869,9359,13633,15786,19654,4464,1046,495,841,75511,21333
E09000007,Camden,527931,184580,E92000001,E12000007,E14000727,,,,107625,9572,11530,9350,2928,562,192,247,593,58110,9429
E09000008,Croydon,533300,163557,E92000001,E12000007,E14000656,,,,201312,13941,19863,23782,24188,4639,1006,797,1175,70976,29040
E09000009,Ealing,515931,181701,E92000001,E12000007,E14000674,,,,192088,14152,20953,25070,18816,2623,704,687,1218,63137,27663
E09000010,Enfield,532411,196432,E92000001,E12000007,E14000691,,,,186120,12252,17946,16531,20771,3068,1049,602,1073,44977,25595
E09000011,Greenwich,542847,177046,E92000001,E12000007,E14000690,,,,146134,9067,13805,17879,19159,2135,1090,618,1164,57959,20058
E09000013,Hammersmith and Fulham,523529,178905,E92000001,E12000007,E14000629,,,,85064,9057,11105,12067,3567,553,230,213,511,51319,9471
E09000014,Haringey,531225,189614,E92000001,E12000007,E14000752,,,,129857,8994,11812,21803,11498,1642,481,425,923,55767,21036
E09000015,Harrow,514912,190121,E92000001,E12000007,E14000731,,,,136166,8875,12883,13939,16161,3727,848,663,1140,45175,21626
E09000016,Havering,554032,187245,E92000001,E12000007,E14000657,,,,137271,9023,12603,12030,13443,9816,1670,674,823,41654,23048
E09000017,Hillingdon,507905,183585,E92000001,E12000007,E14000737,,,,163104,11426,17575,20004,15907,6492,1261,677,1193,45193,23077
E09000018,Hounslow,513589,175668,E92000001,E12000007,E14000593,,,,149381,11506,19269,20792,14596,2943,904,526,1200,45047,22017
E09000019,Islington,531145,185005,E92000001,E12000007,E14000763,,,,101619,8926,15366,10635,3395,735,253,219,580,64530,10332
E09000020,Kensington and Chelsea,525606,179504,E92000001,E12000007,E14000768,,,,73935,5634,8557,6076,1674,285,112,163,427,40010,6504
E09000021,Kingston upon Thames,519327,166705,E92000001,E12000007,E14000770,,,,83915,7951,8660,7750,7869,1543,435,272,479,39251,9938
E09000022,Lambeth,530807,174499,E92000001,E12000007,E14000673,,,,134835,10256,20798,27500,8821,1298,542,479,1032,91770,20323
E09000023,Lewisham,537676,174051,E92000001,E12000007,E14000787,,,,144841,9586,15739,22627,14511,1324,695,436,963,69977,19854
E09000024,Merton,525579,169458,E92000001,E12000007,E14001040,,,,103124,7964,12008,12582,11940,1292,464,317,667,48419,16412
E09000025,Newham,541466,182855,E92000001,E12000007,E14000679,,,,187591,13109,18566,23513,22586,3134,1211,867,1646,47737,31078
E09000026,Redbridge,543919,189405,E92000001,E12000007,E14000760,,,,168633,9479,12953,16676,20959,4293,1421,704,1265,49406,24471
E09000027,Richmond upon Thames,517367,172867,E92000001,E12000007,E14000896,,,,97713,6171,7734,7975,7543,1127,387,244,467,57322,8595
E09000028,Southwark,533829,176738,E92000001,E12000007,E14000615,,,,140689,13354,23403,21496,7014,1171,614,524,1163,80842,17367
E09000029,Sutton,526964,164120,E92000001,E12000007,E14000621,,,,105415,9304,13798,12352,10763,1813,504,364,586,38024,16716
E09000030,Tower Hamlets,536495,181509,E92000001,E12000007,E14000882,,,,154914,14961,18779,17789,6560,1016,592,685,991,78219,15802
E09000031,Waltham Forest,537726,190195,E92000001,E12000007,E14000634,,,,138054,9939,12834,18624,16894,2100,811,493,996,52765,24917
E09000032,Wandsworth,526055,174145,E92000001,E12000007,E14000549,,,,137064,11655,18303,23644,9786,1216,557,431,923,107639,16289
E09000033,Westminster,527739,181005,E92000001,E12000007,E14000639,,,,102494,10299,13785,7140,2497,510,255,239,621,56766,9630
W06000001,Isle of Anglesey,241795,379205,W92000004,W92000004,W07000041,,,,39676,3427,2483,3145,3941,2312,1024,506,1138,6573,4653
W06000002,Gwynedd,263903,334963,W92000004,W92000004,W07000057,,,,65575,7194,3807,5649,6019,3147,1777,1603,1942,12259,8421
W06000003,Conwy,283987,361802,W92000004,W92000004,W07000058,,,,66018,6033,5733,5864,5588,2875,1138,1284,1270,11381,7557
W06000004,Denbighshire,309404,355776,W92000004,W92000004,W07000059,,,,54971,5751,3772,5605,4558,3154,1670,987,863,8600,5886
W06000005,Flintshire,322419,369649,W92000004,W92000004,W07000043,,,,81142,6520,8775,11970,12964,4291,1639,1004,1310,16269,9081
W06000006,Wrexham,331795,344142,W92000004,W92000004,W07000044,,,,73312,7398,11045,10181,7854,3131,1285,939,938,11277,7757
W06000008,Ceredigion,258574,263991,W92000004,W92000004,W07000064,,,,41356,4011,1842,2670,2565,1549,992,992,1165,9524,4809
W06000009,Pembrokeshire,201312,221152,W92000004,W92000004,W07000065,,,,70595,6915,4566,6074,7790,2742,1116,962,1482,12179,8939
W06000010,Carmarthenshire,251227,224511,W92000004,W92000004,W07000045,,,,105946,9864,7382,6726,13855,6504,2072,1824,2140,19243,12341
W06000011,Swansea,257445,195641,W92000004,W92000004,W07000048,,,,137877,11575,17665,17719,8857,1795,1431,1294,1828,25495,12954
W06000012,Neath Port Talbot,279564,199348,W92000004,W92000004,W07000049,,,,83100,6188,6612,9459,10054,3189,953,1209,931,12464,8130
W06000013,Bridgend,289150,185340,W92000004,W92000004,W07000073,,,,81504,7612,7547,7999,8991,4823,2252,626,941,14375,8819
W06000014,Vale of Glamorgan,302809,172697,W92000004,W92000004,W07000078,,,,72024,6402,5552,8301,7103,2537,701,622,766,20395,7536
W06000015,Cardiff,316778,179542,W92000004,W92000004,W07000051,,,,201869,19755,26481,19571,8995,3865,1831,1643,2220,57855,18223
W06000016,Rhondda Cynon Taf,300745,195665,W92000004,W92000004,W07000074,,,,134262,9001,10601,14476,18360,7519,2379,827,1468,22563,16195
W06000018,Caerphilly,316753,195610,W92000004,W92000004,W07000077,,,,98513,7881,8955,11158,13894,3622,854,777,890,18473,10933
W06000019,Blaenau Gwent,317699,208201,W92000004,W92000004,W07000072,,,,38105,3488,4271,3603,5359,2106,852,618,437,4036,4030
W06000020,Torfaen,327301,200555,W92000004,W92000004,W07000053,,,,51621,5084,5442,6022,5481,2180,735,467,548,9051,5645
W06000021,Monmouthshire,340238,206911,W92000004,W92000004,W07000054,,,,50127,4682,1899,3222,5448,3497,1793,938,931,14708,5712
W06000022,Newport,333448,186541,W92000004,W92000004,W07000055,,,,86803,8188,11848,8800,7255,4570,1489,702,995,20385,8558
W06000023,Powys,303993,270454,W92000004,W92000004,W07000063,,,,71443,8048,3139,4012,6316,4010,2075,2288,2993,18698,10147
W06000024,Merthyr Tydfil,306153,205467,W92000004,W92000004,W07000068,,,,33204,3903,3968,2399,3001,1986,999,241,348,4666,4121
E07000168,Scarborough,488815,497619,E92000001,E12000003,E14000913,,,,62186,10414,6352,4248,2794,2943,1208,959,1357,8837,7436
E07000174,Mansfield,455327,364075,E92000001,E12000004,E14000810,,,,59115,6094,9631,8096,6410,2429,851,476,695,8757,7928
E07000198,Staffordshire Moorlands,401331,353540,E92000001,E12000005,E14000966,,,,50810,4784,2795,6396,8863,2082,987,845,558,10949,6774
E07000202,Ipswich,616698,244356,E92000001,E12000006,E14000624,,,,72616,11166,12594,5498,5460,2013,1353,819,1109,16664,10350
E07000214,Surrey Heath,492648,161313,E92000001,E12000008,E14000983,,,,45090,3829,4163,4362,4627,2229,782,764,440,18509,5659
E08000001,Bolton,369187,409211,E92000001,E12000002,E14000578,,,,170525,15111,20309,17711,14225,5699,1002,593,1106,29568,20113
E08000019,Sheffield,430011,389797,E92000001,E12000003,E14000922,,,,314514,26487,42659,40297,18253,4706,2137,2384,2886,69654,32544
E09000012,Hackney,534348,185478,E92000001,E12000007,E14000720,,,,124838,13715,16334,15674,5068,843,319,370,724,66844,14420
E07000075,Rochford,594750,191782,E92000001,E12000006,E14000899,,,,45003,2488,3762,5723,2767,1279,838,1597,435,14659,7110
E07000077,Uttlesford,556816,228707,E92000001,E12000006,E14000910,,,,45598,3033,2383,3371,5304,2565,1634,1858,614,18011,6969
E07000105,Ashford,596857,139969,E92000001,E12000008,E14000704,,,,69132,7209,9105,3845,5100,3927,1822,981,2081,19120,10425
,,,,,,,,,,31823878,3057915,3499328,3273928,2924543,1127375,470349,358935,382615,8671733,4006951