code,category,value,areaName,cx,cy,country,region,Constituency,LA,MSOA,TTWA2011
E07000209,popDensity,530.2,Guildford,500446,150851,E92000001,E12000008,E14000719,,,
E07000210,popDensity,338.3,Mole Valley,517049,147214,E92000001,E12000008,E14000694,,,
E07000211,popDensity,1168.1,Reigate and Banstead,526286,152009,E92000001,E12000008,E14000681,,,
E07000212,popDensity,1128.6,Runnymede,501617,167042,E92000001,E12000008,E14000907,,,
E07000213,popDensity,2293.9,Spelthorne,506652,170605,E92000001,E12000008,E14000959,,,
E07000215,popDensity,354.1,Tandridge,536712,149345,E92000001,E12000008,E14000681,,,
E07000216,popDensity,371.5,Waverley,495682,139877,E92000001,E12000008,E14000719,,,
E07000217,popDensity,1634.4,Woking,500423,158249,E92000001,E12000008,E14001047,,,
E07000218,popDensity,228.8,North Warwickshire,425346,294421,E92000001,E12000005,E14000854,,,
E07000219,popDensity,1699.7,Nuneaton and Bedworth,435701,289373,E92000001,E12000005,E14000854,,,
E07000220,popDensity,325.7,Rugby,445826,276476,E92000001,E12000005,E14000767,,,
E07000221,popDensity,137.8,Stratford-on-Avon,425910,253437,E92000001,E12000005,E14000977,,,
E07000222,popDensity,524.8,Warwick,428512,268090,E92000001,E12000005,E14000767,,,
E07000223,popDensity,1534.4,Adur,519857,106296,E92000001,E12000008,E14000682,,,
E07000224,popDensity,746.1,Arun,500922,105536,E92000001,E12000008,E14000576,,,
E07000225,popDensity,157.8,Chichester,488437,116059,E92000001,E12000008,E14000534,,,
E07000226,popDensity,2634.9,Crawley,527313,137822,E92000001,E12000008,E14000652,,,
E07000227,popDensity,276.8,Horsham,514696,122819,E92000001,E12000008,E14000534,,,
E07000228,popDensity,456.8,Mid Sussex,531427,126224,E92000001,E12000008,E14000534,,,
E07000229,popDensity,3423.7,Worthing,513043,104470,E92000001,E12000008,E14001055,,,
E07000234,popDensity,457.1,Bromsgrove,398961,273791,E92000001,E12000005,E14000605,,,
E07000235,popDensity,137.7,Malvern Hills,376452,253907,E92000001,E12000005,E14001035,,,
E07000236,popDensity,1604.4,Redditch,403427,264902,E92000001,E12000005,E14000892,,,
E07000237,popDensity,3121.4,Worcester,385680,255359,E92000001,E12000005,E14001052,,,
E07000238,popDensity,199.7,Wychavon,396608,251844,E92000001,E12000005,E14000818,,,
E07000239,popDensity,520,Wyre Forest,381336,275771,E92000001,E12000005,E14001058,,,
E07000240,popDensity,919.3,St Albans,514441,209482,E92000001,E12000006,E14000749,,,
E07000241,popDensity,925,Welwyn Hatfield,524698,209206,E92000001,E12000006,E14000606,,,
E07000242,popDensity,315.7,East Hertfordshire,537205,220364,E92000001,E12000006,E14000744,,,
E07000243,popDensity,3444.8,Stevenage,524559,224521,E92000001,E12000006,E14000845,,,
E07000244,popDensity,195.1,East Suffolk,636456,265500,E92000001,E12000006,E14000624,,,
E07000245,popDensity,173.9,West Suffolk,578957,267629,E92000001,E12000006,E14000613,,,
E07000246,popDensity,132.6,Somerset West and Taunton,304672,132836,E92000001,E12000009,E14000988,,,
E08000002,popDensity,1948.6,Bury,379434,410155,E92000001,E12000002,E14000611,,,
E08000003,popDensity,4772.7,Manchester,384645,394923,E92000001,E12000002,E14000571,,,
E08000004,popDensity,1700.5,Oldham,396668,406152,E92000001,E12000002,E14000871,,,
E08000005,popDensity,1415.6,Rochdale,389646,413331,E92000001,E12000002,E14000747,,,
E08000006,popDensity,2777.2,Salford,375503,399266,E92000001,E12000002,E14000571,,,
E08000007,popDensity,2338.3,Stockport,391577,388561,E92000001,E12000002,E14000627,,,
E08000008,popDensity,2239.7,Tameside,395938,397900,E92000001,E12000002,E14000537,,,
E08000009,popDensity,2216.7,Trafford,376532,391465,E92000001,E12000002,E14000532,,,
E08000010,popDensity,1750,Wigan,361033,403243,E92000001,E12000002,E14000580,,,
E08000011,popDensity,1787,Knowsley,344694,392430,E92000001,E12000002,E14000775,,,
E08000012,popDensity,4346.1,Liverpool,339133,389144,E92000001,E12000002,E14000708,,,
E08000013,popDensity,1343.6,St. Helens,352124,396102,E92000001,E12000002,E14000962,,,
E08000014,popDensity,1783.4,Sefton,332846,408176,E92000001,E12000002,E14000581,,,
E08000015,popDensity,1989.7,Wirral,327405,386273,E92000001,E12000002,E14000559,,,
E08000016,popDensity,743.3,Barnsley,431083,404470,E92000001,E12000003,E14000541,,,
E08000017,popDensity,542.4,Doncaster,460041,405684,E92000001,E12000003,E14000667,,,
E08000018,popDensity,927.7,Rotherham,447556,390471,E92000001,E12000003,E14000903,,,
E08000021,popDensity,2646.1,Newcastle upon Tyne,421988,568195,E92000001,E12000001,E14000831,,,
E08000022,popDensity,2538.6,North Tyneside,430940,570503,E92000001,E12000001,E14000853,,,
E08000023,popDensity,2294.2,South Tyneside,435717,563346,E92000001,E12000001,E14000765,,,
E08000024,popDensity,1994.6,Sunderland,435242,554109,E92000001,E12000001,E14001020,,,
E08000025,popDensity,4275.4,Birmingham,408620,287849,E92000001,E12000005,E14000565,,,
E08000026,popDensity,3500.7,Coventry,432736,280037,E92000001,E12000005,E14000649,,,
E08000027,popDensity,3302.4,Dudley,392753,287253,E92000001,E12000005,E14000671,,,
E08000028,popDensity,3994.9,Sandwell,399516,290879,E92000001,E12000005,E14000722,,,
E08000029,popDensity,1212.9,Solihull,418611,279457,E92000001,E12000005,E14000812,,,
E08000030,popDensity,2733.1,Walsall,402370,300150,E92000001,E12000005,E14000531,,,
E08000031,popDensity,3797.9,Wolverhampton,391927,299026,E92000001,E12000005,E14001049,,,
E08000032,popDensity,1491.2,Bradford,409656,438737,E92000001,E12000003,E14000925,,,
E08000033,popDensity,567.8,Calderdale,401827,424977,E92000001,E12000003,E14000614,,,
E08000034,popDensity,1060.3,Kirklees,415745,414567,E92000001,E12000003,E14000548,,,
E08000035,popDensity,1471.7,Leeds,432624,436701,E92000001,E12000003,E14000777,,,
E08000036,popDensity,1043.6,Wakefield,438985,418409,E92000001,E12000003,E14000836,,,
E08000037,popDensity,1378,Gateshead,420364,560133,E92000001,E12000001,E14000574,,,
E09000001,popDensity,2975,City of London,532539,181164,E92000001,E12000007,E14000639,,,
E09000002,popDensity,6065.8,Barking and Dagenham,548056,184924,E92000001,E12000007,E14000540,,,
E09000003,popDensity,4488.7,Barnet,524095,192314,E92000001,E12000007,E14000703,,,
E09000004,popDensity,4070.7,Bexley,548955,175730,E92000001,E12000007,E14000558,,,
E09000005,popDensity,7859.6,Brent,520189,185924,E92000001,E12000007,E14000592,,,
E09000006,popDensity,2197.7,Bromley,542864,165667,E92000001,E12000007,E14000551,,,
E09000007,popDensity,9640.9,Camden,527931,184580,E92000001,E12000007,E14000727,,,
E09000008,popDensity,4516,Croydon,533300,163557,E92000001,E12000007,E14000656,,,
E09000009,popDensity,6611.6,Ealing,515931,181701,E92000001,E12000007,E14000674,,,
E09000010,popDensity,4082.5,Enfield,532411,196432,E92000001,E12000007,E14000691,,,
E09000011,popDensity,6108.6,Greenwich,542847,177046,E92000001,E12000007,E14000690,,,
E09000013,popDensity,11161.1,Hammersmith and Fulham,523529,178905,E92000001,E12000007,E14000629,,,
E09000014,popDensity,8930.2,Haringey,531225,189614,E92000001,E12000007,E14000752,,,
E09000015,popDensity,5175.4,Harrow,514912,190121,E92000001,E12000007,E14000731,,,
E09000016,popDensity,2332.3,Havering,554032,187245,E92000001,E12000007,E14000657,,,
E09000017,popDensity,2644,Hillingdon,507905,183585,E92000001,E12000007,E14000737,,,
E09000018,popDensity,5148,Hounslow,513589,175668,E92000001,E12000007,E14000593,,,
E09000019,popDensity,14574.9,Islington,531145,185005,E92000001,E12000007,E14000763,,,
E09000020,popDensity,11816.5,Kensington and Chelsea,525606,179504,E92000001,E12000007,E14000768,,,
E09000021,popDensity,4512.1,Kingston upon Thames,519327,166705,E92000001,E12000007,E14000770,,,
E09000022,popDensity,11839.1,Lambeth,530807,174499,E92000001,E12000007,E14000673,,,
E09000023,popDensity,8551.5,Lewisham,537676,174051,E92000001,E12000007,E14000787,,,
E09000024,popDensity,5721.6,Merton,525579,169458,E92000001,E12000007,E14001040,,,
E09000025,popDensity,9690.1,Newham,541466,182855,E92000001,E12000007,E14000679,,,
E09000026,popDensity,5501.9,Redbridge,543919,189405,E92000001,E12000007,E14000760,,,
E09000027,popDensity,3401.9,Richmond upon Thames,517367,172867,E92000001,E12000007,E14000896,,,
E09000028,popDensity,10659,Southwark,533829,176738,E92000001,E12000007,E14000615,,,
E09000029,popDensity,4781,Sutton,526964,164120,E92000001,E12000007,E14000621,,,
E09000030,popDensity,15702.9,Tower Hamlets,536495,181509,E92000001,E12000007,E14000882,,,
E09000031,popDensity,7173.3,Waltham Forest,537726,190195,E92000001,E12000007,E14000634,,,
E09000032,popDensity,9560,Wandsworth,526055,174145,E92000001,E12000007,E14000549,,,
E09000033,popDensity,9514.2,Westminster,527739,181005,E92000001,E12000007,E14000639,,,
W06000001,popDensity,96.7,Isle of Anglesey,241795,379205,W92000004,W92000004,W07000041,,,
W06000002,popDensity,46.3,Gwynedd,263903,334963,W92000004,W92000004,W07000057,,,
W06000003,popDensity,101.9,Conwy,283987,361802,W92000004,W92000004,W07000058,,,
W06000004,popDensity,114.5,Denbighshire,309404,355776,W92000004,W92000004,W07000059,,,
W06000005,popDensity,352.3,Flintshire,322419,369649,W92000004,W92000004,W07000043,,,
W06000006,popDensity,268.2,Wrexham,331795,344142,W92000004,W92000004,W07000044,,,
W06000008,popDensity,40,Ceredigion,258574,263991,W92000004,W92000004,W07000064,,,
W06000009,popDensity,76.2,Pembrokeshire,201312,221152,W92000004,W92000004,W07000065,,,
W06000010,popDensity,79.3,Carmarthenshire,251227,224511,W92000004,W92000004,W07000045,,,
W06000011,popDensity,631.5,Swansea,257445,195641,W92000004,W92000004,W07000048,,,
W06000012,popDensity,322.5,Neath Port Talbot,279564,199348,W92000004,W92000004,W07000049,,,
W06000013,popDensity,580.1,Bridgend,289150,185340,W92000004,W92000004,W07000073,,,
W06000014,popDensity,398.4,Vale of Glamorgan,302809,172697,W92000004,W92000004,W07000078,,,
W06000015,popDensity,2571.3,Cardiff,316778,179542,W92000004,W92000004,W07000051,,,
W06000016,popDensity,560.3,Rhondda Cynon Taf,300745,195665,W92000004,W92000004,W07000074,,,
W06000018,popDensity,634.2,Caerphilly,316753,195610,W92000004,W92000004,W07000077,,,
W06000019,popDensity,615.1,Blaenau Gwent,317699,208201,W92000004,W92000004,W07000072,,,
W06000020,popDensity,734.4,Torfaen,327301,200555,W92000004,W92000004,W07000053,,,
W06000021,popDensity,109.5,Monmouthshire,340238,206911,W92000004,W92000004,W07000054,,,
W06000022,popDensity,838.1,Newport,333448,186541,W92000004,W92000004,W07000055,,,
W06000023,popDensity,25.7,Powys,303993,270454,W92000004,W92000004,W07000063,,,
W06000024,popDensity,528.2,Merthyr Tydfil,306153,205467,W92000004,W92000004,W07000068,,,
E06000007,popDensity,1168,Warrington,362665,389223,E92000001,E12000002,E14001017,,,
E06000008,popDensity,1129.4,Blackburn with Darwen,369254,421850,E92000001,E12000002,E14000570,,,
E06000009,popDensity,4041.1,Blackpool,331921,436188,E92000001,E12000002,E14000572,,,
E06000010,popDensity,3730.1,Kingston upon Hull,509765,430588,E92000001,E12000003,E14000771,,,
E06000013,popDensity,200.4,North Lincolnshire,493268,411782,E92000001,E12000003,E14000596,,,
E06000016,popDensity,5027.2,Leicester,459135,304861,E92000001,E12000004,E14000782,,,
E06000022,popDensity,559.2,Bath and North East Somerset,367057,162001,E92000001,E12000009,E14000547,,,
E06000025,popDensity,584.3,South Gloucestershire,367431,183263,E92000001,E12000009,E14000702,,,
E06000030,popDensity,1014.4,Swindon,417817,185857,E92000001,E12000009,E14000851,,,
E06000033,popDensity,4335.6,Southend-on-Sea,589363,185610,E92000001,E12000006,E14000899,,,
E06000034,popDensity,1074.2,Thurrock,564863,181237,E92000001,E12000006,E14000933,,,
E06000046,popDensity,370,Isle of Wight,449779,86461,E92000001,E12000008,E14000762,,,
E06000049,popDensity,341.9,Cheshire East,376729,364874,E92000001,E12000002,E14000646,,,
E06000052,popDensity,160.9,Cornwall,199168,59975,E92000001,E12000009,E14000616,,,
E07000011,popDensity,199.6,Huntingdonshire,521228,276573,E92000001,E12000006,E14000757,,,
E07000039,popDensity,317.1,South Derbyshire,429750,326002,E92000001,E12000004,E14000935,,,
E07000040,popDensity,185.2,East Devon,313793,96775,E92000001,E12000009,E14000623,,,
E07000044,popDensity,100,South Hams,270440,54205,E92000001,E12000009,E14000950,,,
E07000064,popDensity,182.8,Rother,578409,119997,E92000001,E12000008,E14000557,,,
E07000065,popDensity,192.2,Wealden,554434,120966,E92000001,E12000008,E14001023,,,
E07000066,popDensity,1705.1,Basildon,570901,190821,E92000001,E12000006,E14000544,,,
E07000073,popDensity,3056.1,Harlow,545614,209915,E92000001,E12000006,E14000729,,,
E07000078,popDensity,2549.3,Cheltenham,395079,221973,E92000001,E12000009,E14000630,,,
E07000081,popDensity,3266.6,Gloucester,383531,216834,E92000001,E12000009,E14000712,,,
E07000083,popDensity,229,Tewkesbury,394038,227458,E92000001,E12000009,E14000705,,,
E07000090,popDensity,2228.4,Havant,471226,104842,E92000001,E12000008,E14000736,,,
E07000103,popDensity,4772.2,Watford,510556,197803,E92000001,E12000006,E14001021,,,
E07000112,popDensity,307.5,Folkestone and Hythe,610024,132599,E92000001,E12000008,E14000704,,,
E07000119,popDensity,491.2,Fylde,339324,432384,E92000001,E12000002,E14000706,,,
E07000120,popDensity,1126.6,Hyndburn,374414,429238,E92000001,E12000002,E14000758,,,
E07000124,popDensity,105.6,Ribble Valley,370849,445761,E92000001,E12000002,E14000894,,,
E07000136,popDensity,193.7,Boston,532926,343714,E92000001,E12000004,E14000582,,,
E07000142,popDensity,82.3,West Lindsey,501339,389522,E92000001,E12000004,E14000707,,,
E07000147,popDensity,106.6,North Norfolk,613546,332832,E92000001,E12000006,E14000603,,,
E07000168,popDensity,133.2,Scarborough,488815,497619,E92000001,E12000003,E14000913,,,
E07000174,popDensity,1440.2,Mansfield,455327,364075,E92000001,E12000004,E14000810,,,
E07000198,popDensity,166.4,Staffordshire Moorlands,401331,353540,E92000001,E12000005,E14000966,,,
E07000202,popDensity,3534.3,Ipswich,616698,244356,E92000001,E12000006,E14000624,,,
E07000214,popDensity,951.2,Surrey Heath,492648,161313,E92000001,E12000008,E14000983,,,
E08000001,popDensity,2117,Bolton,369187,409211,E92000001,E12000002,E14000578,,,
E08000019,popDensity,1512.5,Sheffield,430011,389797,E92000001,E12000003,E14000922,,,
E09000012,popDensity,13593.3,Hackney,534348,185478,E92000001,E12000007,E14000720,,,
E07000075,popDensity,512.7,Rochford,594750,191782,E92000001,E12000006,E14000899,,,
E07000077,popDensity,142.5,Uttlesford,556816,228707,E92000001,E12000006,E14000910,,,
E07000105,popDensity,228.6,Ashford,596857,139969,E92000001,E12000008,E14000704,,,
E06000053,popDensity,125.9,Isles of Scilly,91546,11139,E92000001,E12000009,E14000964,,,
E09000001,popDensity,2975,City of London,532539,181164,E92000001,E12000007,E14000639,,,